ID,Hooking,Perimeter,Area,Frechet,Stress
sd10_20x3L.png,24.1712799,715.8376553,2583.083839,46.84350985,P
sd10_20x4L.png,12.75942529,509.5289975,1614.819884,87.22176826,P
sd11_20x1aL.png,36.17334763,594.1391728,1902.859461,180.9837612,P
sd11_20x1bL.png,16.8243846,938.472213,3507.031177,152.6397432,P
sd11_20x2aL.png,8.154951121,898.7909727,3417.461661,121.9282275,P
sd11_20x2cL.png,21.58087433,806.4234408,2921.810055,93.50670784,P
sd11_20x3aL.png,15.23829439,841.0336132,2991.605356,133.2018598,P
sd11_20x3bL.png,46.58194898,709.0508587,2547.473326,118.1247537,P
sd11_20x3cL.png,28.35370951,891.6193988,3335.000987,105.7922944,P
sd12_20x3L.png,11.51878743,1246.569757,6443.850062,216.2443848,P
sd12_20x4L.png,4.690691697,1019.536139,4169.945183,105.7922944,P
sd12_20x5aL.png,33.76814525,1133.134117,5084.107134,105.7922944,P
sd12_20x5L.png,20.6446584,1016.080295,4180.247913,105.7922944,P
sd12_20x6aL.png,41.06998587,10.82842708,8.088416691,105.7922944,P
sd13_20x1L.png,24.07259103,747.3279877,2147.00715,110.6623256,P
sd13_20x2L.png,56.07410836,1058.104679,4405.605322,245.0015355,P
sd13_20x3L.png,15.65066017,1000.34018,4179.540805,105.7922944,P
sd13_20x4L.png,33.76814525,925.7787797,3730.078044,237.9242835,P
sd13_20x5L.png,36.71053866,945.1513637,3747.860561,26.87711954,P
sd13_20x6L.png,20.11950893,862.3473238,3285.586028,174.9145964,P
sd1_20x10L.png0.jpg,21.07442567,803.1442236,2892.426982,69.3616562,P
sd1_20x10L.png189.jpg,21.07442567,803.1442236,2892.426982,69.3616562,P
sd1_20x10L.tiff191.jpg,21.07442567,803.1442236,2891.22163,69.3616562,P
sd1_20x11L.png194.jpg,20.07198828,738.9432135,2577.782631,19.07312883,P
sd1_20x11L.png2.jpg,20.07198828,738.9432135,2577.782631,19.07312883,P
sd1_20x11L.tiff196.jpg,20.07198828,738.9432135,2577.118024,19.07312883,P
sd1_20x12L.png199.jpg,13.08374523,967.1757483,3849.224453,235.6605708,P
sd1_20x12L.png4.jpg,13.08374523,967.1757483,3849.224453,235.6605708,P
sd1_20x12L.tiff201.jpg,13.08374523,967.1757483,3848.485489,235.6605708,P
sd1_20x13L.png204.jpg,48.43441807,856.1219267,3173.146625,105.7922944,P
sd1_20x13L.png6.jpg,48.43441807,856.1219267,3173.146625,105.7922944,P
sd1_20x13L.tiff206.jpg,48.43441807,856.1219267,3172.582055,105.7922944,P
