ID,Perimeter,Hausdorf,Area,Frechet,Stress
0.jpg,794.3401804,7.929829613,2775.331238,181.0950092,C
1.jpg,802.21529,37.96732457,2646.23476,180.3370347,C
10.jpg,1023.266148,13.82993694,4017.641997,180.3370347,C
100.jpg,857.8893892,60.16666746,3197.176234,181.0950092,C
108.jpg,393.7228695,52.55463283,1085.899676,105.412787,C
109.jpg,516.4335461,42.69251936,1662.220914,181.0950092,C
11.jpg,1066.43772,7.834514629,4414.944279,180.3370347,C
110.jpg,1105.016367,25.16883494,5002.726041,109.2020743,C
115.jpg,852.9259675,52.17313249,3099.261138,180.3370347,C
116.jpg,900.1564165,65.54003053,3599.448628,180.3370347,C
117.jpg,713.5878736,56.16987208,2499.87589,181.0950092,C
119.jpg,835.9970356,6.875805512,3087.280777,180.3370347,C
12.jpg,1048.295588,14.16646864,4338.36158,180.3370347,C
121.jpg,835.6711349,62.16508542,2792.147198,180.3370347,C
122.jpg,548.3746697,65.16423203,1665.272036,180.3370347,C
123.jpg,1004.080296,9.166611392,3743.457832,180.3370347,C
125.jpg,578.9604573,21.04970878,1729.039664,22.06071921,C
129.jpg,562.9188268,37.16296029,1585.148163,180.3370347,C
13.jpg,1301.983972,65.16821607,6281.885389,180.3370347,C
130.jpg,837.9554036,53.16743857,2924.437951,181.0950092,C
131.jpg,822.180801,28.17354684,2639.350835,180.3370347,C
132.jpg,694.8427095,9.433229962,2238.451487,154.3517589,C
133.jpg,850.5411916,11.14145454,3052.748095,157.6275919,C
134.jpg,702.3157957,9.166611392,2313.040195,180.3370347,C
135.jpg,835.6467499,67.48574113,2988.388184,181.0950092,C
137.jpg,1182.011315,32.89933515,5130.239412,181.0950092,C
138.jpg,1002.513841,0.769652589,3520.987625,180.3370347,C
139.jpg,903.702661,22.8231784,3357.344175,180.3370347,C
14.jpg,1050.447825,24.82429852,3954.025356,180.3370347,C
142.jpg,651.4945074,26.82493691,2315.002358,116.7458191,C
143.jpg,918.555473,3.827746705,3622.778783,180.3370347,C
147.jpg,940.7148514,24.82429852,3344.349602,180.3370347,C
148.jpg,875.8204086,35.1693354,2978.59666,74.84593317,C
151.jpg,747.5777686,14.16646864,2711.568508,114.3319698,C
153.jpg,854.1635561,16.30478479,2880.500012,180.3370347,C
154.jpg,616.1391699,27.8476561,2045.106372,237.2533622,C
157.jpg,625.0609632,29.16314761,1960.571214,180.3370347,C
159.jpg,983.6437825,16.8243846,3972.658669,180.3370347,C
161.jpg,838.2224299,0.863654683,2916.848252,180.3370347,C
162.jpg,632.198045,22.01785801,1974.599415,107.6990375,C
18.jpg,720.4650714,57.16428653,2518.139853,197.3333183,C
19.jpg,1310.687503,0.863654683,6307.902395,180.3370347,C
27.jpg,1367.724083,0.769652589,6548.481283,7.25489703,C
28.jpg,1578.510879,45.16917566,7948.743137,180.3370347,C
29.jpg,1263.401144,41.16445908,5545.285647,122.8609964,C
31.jpg,1416.309867,17.51611611,7466.695296,180.3370347,C
4.jpg,1225.734185,20.34671025,5728.78476,181.0950092,C
45.jpg,754.1635567,10.82518453,2754.961546,180.3370347,C
50.jpg,620.0386685,19.13047136,2035.694899,115.4745256,C
51.jpg,1063.508788,0.863654683,4603.346613,180.3370347,C
54.jpg,557.8721482,46.6390694,1827.194627,181.0950092,C
55.jpg,495.8305156,54.53770872,1378.232724,198.7604563,C
57.jpg,560.6833286,31.7707976,1786.986705,231.3423981,C
58.jpg,594.4579309,57.54017914,1956.511255,181.0950092,C
6.jpg,978.0285596,1.829585433,3652.964351,180.3370347,C
62.jpg,595.6711351,54.61042603,1916.243073,180.3370347,C
63.jpg,684.3645676,68.17301834,2387.825059,115.5394897,C
64.jpg,665.394003,34.71689716,2243.901563,188.0508154,C
65.jpg,567.6538898,37.68831565,1818.31979,97.48267099,C
66.jpg,1002.756481,21.26700687,4327.107906,180.3370347,C
68.jpg,657.4356332,46.59097908,2220.471452,107.4845208,C
69.jpg,852.2884442,3.827746705,3331.240138,248.2636748,C
7.jpg,1152.638733,4.178723325,4781.815914,181.0950092,C
71.jpg,1280.88851,60.53210552,6134.577052,180.3370347,C
72.jpg,819.3351279,21.82981786,2765.66553,180.3370347,C
74.jpg,989.5676621,15.36717176,4264.640397,169.0527891,C
75.jpg,617.102592,65.54003053,2148.351767,180.3370347,C
76.jpg,544.5168067,52.55463283,1777.303629,180.3370347,C
77.jpg,739.7960232,22.93823984,2741.25269,181.0950092,C
78.jpg,994.7320982,23.15761291,4148.340314,181.0950092,C
8.jpg,1044.312833,4.829321637,4056.712372,180.3370347,C
80.jpg,470.475175,6.376196752,1441.809499,116.0199926,C
81.jpg,660.5411911,8.719751088,2390.804068,132.8709518,C
82.jpg,849.8447938,64.16981575,3183.858039,181.0950092,C
84.jpg,951.1929909,12.39342686,3817.040513,181.0950092,C
85.jpg,927.0853479,69.47928383,3705.027829,181.0950092,C
86.jpg,821.5605268,60.16824843,2958.98556,169.7250458,C
87.jpg,800.7422022,28.02279681,2935.119526,180.3370347,C
88.jpg,1011.317884,35.1693354,4347.214367,181.0950092,C
89.jpg,695.8061296,38.80059025,2602.205991,180.3370347,C
9.jpg,1122.396092,30.7804264,4390.743525,180.3370347,C
90.jpg,490.6000658,41.63733036,1538.787864,106.7675397,C
