ID,Area,Perimeter,Hausdorf,Frechet,Stress
43.jpg,5117.121873,1155.02351,25.25843407,109.6385654,N
44.jpg,2338.026934,668.4234424,23.90781816,109.6385654,N
45.jpg,1843.332834,558.8254625,23.41659508,93.93540218,N
46.jpg,1715.450098,577.7127639,26.81537446,76.4045086,N
47.jpg,2246.098512,654.1808013,38.58862863,65.63131137,N
49.jpg,2959.110542,757.1025925,6.272386718,255.2726995,N
5.jpg,4154.038234,1027.844796,75.96133354,109.6385654,N
50.jpg,2079.029963,642.7422022,73.96164524,120.6779171,N
51.jpg,3734.258994,923.7716397,23.97958845,32.99114998,N
54.jpg,2047.764178,601.8132699,49.99040167,252.1668128,N
55.jpg,2085.081058,642.0315248,19.13419846,49.17081723,N
56.jpg,2361.386286,672.8427073,8.807032697,109.1666273,N
59.jpg,2598.278881,733.3279881,45.50309916,109.6385654,N
6.jpg,3477.343029,945.5777695,71.95066658,109.6385654,N
61.jpg,3149.93161,847.3523737,34.97644129,72.24730609,N
62.jpg,2579.798991,736.8082157,56.96758101,61.20122104,N
63.jpg,1547.895457,491.2030996,46.49897487,176.5716984,N
64.jpg,1682.363117,528.5584359,11.29765275,72.07222999,N
65.jpg,1824.502877,607.210237,50.45695766,128.732395,N
69.jpg,2338.193789,668.4234424,80.94742388,58.26830998,N
7.jpg,4454.776015,1117.158503,62.9653068,109.6385654,N
70.jpg,3534.075709,908.7737255,20.98867267,45.22359872,N
71.jpg,3512.164576,880.4722114,10.29059066,44.39286614,N
72.jpg,3548.104914,894.6904689,20.98867267,109.6385654,N
73.jpg,2279.801802,684.0802958,14.51169718,93.93503909,N
74.jpg,4128.435553,957.6854146,11.2883721,109.6385654,N
76.jpg,4340.341717,1005.810307,64.9591888,109.6385654,N
77.jpg,2396.994085,683.8620442,19.13419846,70.34166716,N
78.jpg,2320.802369,691.7787799,71.96039356,60.50010934,N
