ID,Area,Perimeter,Hausdorf,Frechet,Stress
10.jpg,3557.410786,925.3351301,72.95771074,109.6385654,N
100.jpg,3045.799711,812.8082161,32.68190051,109.6385654,N
101.jpg,4143.685071,1018.028561,44.02753824,79.73903733,N
102.jpg,2640.05634,764.1807998,24.88125726,96.50720799,N
103.jpg,4998.462959,1086.295586,15.98067941,109.6385654,N
105.jpg,3428.044038,849.761533,69.95677386,142.9310833,N
107.jpg,2748.922392,754.1808001,69.95677386,114.8546047,N
108.jpg,5940.821875,1284.47935,23.31990036,109.6385654,N
109.jpg,3715.895396,894.4650718,47.96648214,109.6385654,N
11.jpg,3383.910908,881.8965285,8.807032697,109.6385654,N
110.jpg,3049.119586,773.5777692,82.2507244,81.73038257,N
111.jpg,3647.166519,893.234622,34.09906103,94.24423242,N
112.jpg,3163.753158,854.1564169,33.1062733,109.6385654,N
114.jpg,2724.857986,800.7249556,26.81537446,111.2429282,N
115.jpg,2993.854772,824.0802926,50.96858105,93.70816225,N
116.jpg,3513.850423,864.0214181,25.25843407,109.6385654,N
117.jpg,2341.666041,740.6000657,50.45695766,147.5872938,N
118.jpg,3717.833567,925.9970337,15.67763973,110.1234001,N
12.jpg,3341.261779,896.1635569,80.11258269,109.6385654,N
120.jpg,2307.796051,645.73715,17.26404659,109.6385654,N
121.jpg,2923.379611,807.9209135,44.02753824,122.6868788,N
122.jpg,2486.366334,694.2396744,63.37270572,91.05756734,N
123.jpg,3485.745824,920.2813065,36.97831058,106.9474621,N
124.jpg,3647.425297,916.2224311,45.96330986,91.93474539,N
125.jpg,2578.561092,695.8792856,75.9621206,53.36342656,N
127.jpg,3843.624692,939.411249,83.15427945,109.6385654,N
128.jpg,4264.889769,1012.607207,8.564726008,103.6991751,N
129.jpg,1873.688956,599.5289984,21.99033935,71.30636109,N
13.jpg,3341.261779,896.1635569,80.11258269,109.6385654,N
130.jpg,4053.367767,954.2224301,18.98464619,68.3806136,N
131.jpg,3170.1396,827.1686078,0.859657505,6.991987035,N
132.jpg,2228.572622,673.5706279,64.96568822,103.4774046,N
133.jpg,2657.909959,759.4112481,14.51169718,44.09821429,N
134.jpg,2772.215453,760.8010759,63.96191547,99.24879132,N
135.jpg,3519.739984,872.565577,8.564726008,104.0098937,N
138.jpg,5321.048932,1208.18794,18.98464619,103.8214227,N
139.jpg,3402.219052,858.925967,18.98464619,87.18070352,N
14.jpg,6551.285701,1360.40323,16.98366183,109.6385654,N
140.jpg,3691.334853,947.1686071,29.97348189,60.50992029,N
142.jpg,5113.145404,1215.477264,57.96491313,109.6385654,N
143.jpg,3155.386484,825.6538877,82.2507244,109.6385654,N
145.jpg,2827.550703,750.8599534,32.68190051,95.96872387,N
147.jpg,2446.290713,705.9137737,51.98408951,134.0743139,N
148.jpg,2777.831744,779.1025928,56.96758101,135.0758703,N
149.jpg,4548.047583,1053.595014,33.1062733,109.6385654,N
15.jpg,4057.723395,957.8691809,0.859657505,102.6889487,N
150.jpg,1706.304481,528.0904001,61.38813706,110.0683229,N
152.jpg,1651.177373,510.3746721,50.45695766,128.732395,N
153.jpg,5346.074745,1172.2712,15.67763973,29.40927301,N
154.jpg,4792.841187,1087.259008,10.89724666,38.2517789,N
155.jpg,2898.119295,781.2691135,36.61436695,94.60391402,N
156.jpg,2852.586548,779.8132687,44.51560849,25.23035604,N
157.jpg,2951.040555,810.6833268,26.23712396,124.6635333,N
158.jpg,1339.464209,429.4629831,7.238095173,291.5722732,N
159.jpg,2662.179205,692.4163007,77.32059694,61.99864876,N
16.jpg,1359.735346,442.8599521,32.68190051,83.11441799,N
160.jpg,2901.507045,761.7300102,14.51169718,141.6764379,N
162.jpg,2966.804529,775.712764,29.97348189,77.75657598,N
163.jpg,3607.577899,872.9675964,20.42379181,109.6385654,N
164.jpg,2836.013358,722.8010769,43.02743566,210.7440843,N
165.jpg,3997.924175,912.7005712,21.2898879,223.4255759,N
166.jpg,3461.540789,836.9848433,31.97561865,109.6385654,N
167.jpg,6752.832419,1371.148396,26.81537446,230.4868093,N
168.jpg,3569.612703,908.7665867,26.23712396,109.6385654,N
169.jpg,3227.610931,802.2813059,49.46741218,231.7027252,N
17.jpg,3391.831034,887.7615339,20.90018981,36.74312951,N
170.jpg,3841.401191,887.7615331,7.222644861,245.4623402,N
171.jpg,3569.612703,908.7665867,26.23712396,109.6385654,N
